Feature	R2	p value	N
EDU_CAT1	1,26E-03	9,99E-04	4412
EDU_CAT2	2,50E-03	9,99E-04	2506
ALCOHOL_CAT	7,80E-04	9,99E-04	5279
GRAVITY1	4,32E-03	9,99E-04	1854
GRAVITY2	2,39E-03	9,99E-04	3991
PARITY1	2,69E-03	9,99E-04	3122
PARITY2	4,87E-03	9,99E-04	2832
EXA_ORDOR	1,26E-03	9,99E-04	4810
EXA_CERBLE	1,75E-03	9,99E-04	4782
BIRTH_CONTROL3	1,16E-03	3,00E-03	3679
SYM_BLEDDING	7,91E-04	3,00E-03	5298
EXA_CERECT	1,31E-03	3,00E-03	3625
AGE	7,89E-04	3,00E-03	5437
MENSTRUAL_PHASE_REG1	1,57E-03	3,00E-03	3657
MENSTRUAL_PHASE_REG3	1,10E-03	3,00E-03	3657
SYM_PAINBLE	8,75E-04	4,00E-03	5305
INCOME2	1,26E-03	6,99E-03	2656
SYM_ITCHING	6,57E-04	8,99E-03	5347
BIRTH_CONTROL1	2,54E-03	1,20E-02	1275
SMOKING_CAT	5,15E-04	1,90E-02	5246
SYM_URIOSP	4,44E-04	4,60E-02	5300
MENSTRUAL_PHASE_REG2	4,91E-04	1,19E-01	3657
DRUG_ESTROGEN	3,54E-04	1,20E-01	4825
ADVERSE_PREGNANCY2	4,52E-04	1,26E-01	3519
BMI	2,93E-04	1,54E-01	5437
ETHINIC	2,58E-04	2,20E-01	5133
SEX72	2,46E-04	2,41E-01	4976
SEX_PARTNER_CAT	2,39E-04	2,46E-01	5165
PS_UTI	2,52E-04	2,46E-01	5217
EXA_VAGWAL	2,15E-04	3,16E-01	4793
EXA_CERDIS	1,86E-04	3,89E-01	4864
WAISTLINE	4,41E-04	4,55E-01	1975
SYM_ABDPAIN	1,54E-04	4,86E-01	5321
DRUG_GLULIP	1,59E-04	5,24E-01	4827
MENSTRUAL_REGULAR	1,46E-04	5,45E-01	4899
PS_HYPERTENSION	1,13E-04	6,49E-01	5296
BIRTH_CONTROL2	6,30E-04	6,95E-01	889
SYM_YYD	1,06E-04	7,11E-01	5198
ADVERSE_PREGNANCY1	1,39E-04	7,22E-01	3704
INCOME1	2,20E-04	7,32E-01	2471
PS_DIABETES	8,84E-05	8,07E-01	5297
DRUG_ANTIBIOTICS	8,56E-05	8,47E-01	4828
