Defination	Features	BETA	SE	p value	CI.low	CI.high	N	FDR
continous	AGE	5,44E-03	1,08E-03	4,78E-07	3,32E-03	7,55E-03	5437	1,00E-05
birth control, 0 = no birth control, 1= condom	BIRTH_CONTROL3	-1,18E-01	2,31E-02	3,46E-07	-1,63E-01	-7,26E-02	3679	1,00E-05
0 = collage or above, 1 = High school	EDU_CAT2	1,84E-01	4,24E-02	1,50E-05	1,01E-01	2,67E-01	2506	2,10E-04
0 = collage or above, 1 = Primary school or lower	EDU_CAT1	7,36E-02	1,73E-02	2,04E-05	3,98E-02	1,07E-01	4412	2,14E-04
vaginal odor, 0=no, 1=yes	EXA_ORDOR	1,28E-01	3,17E-02	5,87E-05	6,54E-02	1,90E-01	4810	4,93E-04
pain or bleeding during sexual behavior (Dyspareunia), 0=no, 1=yes	SYM_PAINBLE	1,03E-01	2,63E-02	9,91E-05	5,10E-02	1,54E-01	5305	6,93E-04
vaginal itching (Itching), 0=no, 1=yes	SYM_ITCHING	5,86E-02	1,77E-02	9,68E-04	2,38E-02	9,33E-02	5347	5,81E-03
irregular vaginal bleeding (Irregular bleeding) , 0=no, 1=yes 	SYM_BLEDDING	8,14E-02	2,86E-02	4,38E-03	2,54E-02	1,37E-01	5298	2,30E-02
0 = Han, 1 = Ethinic minority	ETHINIC	9,86E-02	3,74E-02	8,40E-03	2,53E-02	1,72E-01	5133	3,92E-02
cervical bleeding and swelling , 0=no, 1=yes	EXA_CERBLE	6,28E-02	3,10E-02	4,32E-02	1,93E-03	1,24E-01	4782	1,81E-01
cervical ectropion , 0=no, 1=yes	EXA_CERECT	4,77E-02	2,48E-02	5,42E-02	-8,67E-04	9,64E-02	3625	2,07E-01
Number of sex paterners, 0 = 1 paterner, 1= more than 1 parteners	SEX_PARTNER_CAT	7,27E-02	4,29E-02	9,04E-02	-1,15E-02	1,57E-01	5165	3,16E-01
continous	BMI	3,87E-03	2,54E-03	1,27E-01	-1,10E-03	8,85E-03	5437	3,80E-01
pain urinating or lumbago (Urodynia), 0=no, 1=yes	SYM_URIOSP	-3,31E-02	2,13E-02	1,21E-01	-7,48E-02	8,69E-03	5300	3,80E-01
times of parity, 0 = 0 time, 1= 1 time	PARITY1	3,52E-02	2,57E-02	1,71E-01	-1,52E-02	8,57E-02	3122	4,47E-01
0=non-smoking, 1=smoking	SMOKING_CAT	5,28E-02	3,95E-02	1,81E-01	-2,46E-02	1,30E-01	5246	4,47E-01
urgency to urinate or frequently urinate (Frequency/ urgency of urination), 0=no, 1=yes	SYM_YYD	3,80E-02	2,80E-02	1,75E-01	-1,69E-02	9,28E-02	5198	4,47E-01
