Bacteria	Comparison	p value	mean.diff	FDR
s__Allisonella_histaminiformans	<= 45 vs > 45	3,80E-11	8,02E-01	3,89E-08
s__Allisonella_histaminiformans	<= 43 vs > 43	1,07E-09	6,35E-01	2,73E-07
s__Allisonella_histaminiformans	<= 44 vs > 44	5,96E-10	6,89E-01	2,73E-07
s__Allisonella_histaminiformans	<= 46 vs > 46	1,01E-09	8,30E-01	2,73E-07
s__Allisonella_histaminiformans	<= 41 vs > 41	2,66E-09	5,45E-01	5,44E-07
s__Allisonella_histaminiformans	<= 40 vs > 40	7,27E-09	5,01E-01	1,24E-06
s__Allisonella_histaminiformans	<= 42 vs > 42	1,51E-08	5,50E-01	2,21E-06
s__Lactobacillus_crispatus	<= 45 vs > 45	7,89E-08	-3,37E-01	1,01E-05
s__Lactobacillus_crispatus	<= 43 vs > 43	1,30E-07	-2,89E-01	1,33E-05
s__Lactobacillus_crispatus	<= 44 vs > 44	1,29E-07	-3,04E-01	1,33E-05
s__Coriobacteriales_bacterium	<= 45 vs > 45	1,84E-07	6,31E-01	1,71E-05
s__Allisonella_histaminiformans	<= 39 vs > 39	3,21E-07	4,23E-01	2,74E-05
s__Coriobacteriales_bacterium	<= 44 vs > 44	4,02E-07	5,69E-01	3,17E-05
s__Prevotella_amnii	<= 45 vs > 45	4,76E-07	6,66E-01	3,39E-05
s__Prevotella_timonensis	<= 45 vs > 45	4,98E-07	6,01E-01	3,39E-05
s__Prevotella_amnii	<= 44 vs > 44	5,72E-07	6,12E-01	3,44E-05
s__Lactobacillus_crispatus	<= 42 vs > 42	5,72E-07	-2,57E-01	3,44E-05
s__Prevotella_timonensis	<= 44 vs > 44	1,54E-06	5,34E-01	8,74E-05
s__Allisonella_histaminiformans	<= 48 vs > 48	1,62E-06	9,03E-01	8,74E-05
s__Prevotella_amnii	<= 43 vs > 43	2,00E-06	5,48E-01	9,70E-05
s__Prevotella_amnii	<= 46 vs > 46	2,26E-06	6,92E-01	9,70E-05
s__Prevotella_timonensis	<= 43 vs > 43	2,21E-06	5,00E-01	9,70E-05
s__Prevotella_timonensis	<= 46 vs > 46	2,26E-06	6,33E-01	9,70E-05
s__Allisonella_histaminiformans	<= 38 vs > 38	2,28E-06	3,78E-01	9,70E-05
s__Atopobium_vaginae	<= 50 vs > 50	2,66E-06	1,02E+00	1,09E-04
s__Tissierellia_bacterium	<= 45 vs > 45	3,88E-06	5,37E-01	1,53E-04
s__Allisonella_histaminiformans	<= 47 vs > 47	6,60E-06	6,96E-01	2,42E-04
s__Megasphaera_lornae	<= 45 vs > 45	6,64E-06	5,73E-01	2,42E-04
s__Lactobacillus_crispatus	<= 46 vs > 46	7,19E-06	-3,18E-01	2,54E-04
s__Coriobacteriales_bacterium	<= 43 vs > 43	1,00E-05	4,67E-01	3,42E-04
s__Tissierellia_bacterium	<= 39 vs > 39	1,09E-05	3,53E-01	3,58E-04
s__Dialister_micraerophilus	<= 46 vs > 46	1,23E-05	5,78E-01	3,93E-04
s__Allisonella_histaminiformans	<= 34 vs > 34	1,46E-05	3,33E-01	4,40E-04
s__Allisonella_histaminiformans	<= 36 vs > 36	1,45E-05	3,34E-01	4,40E-04
s__Lactobacillus_crispatus	<= 41 vs > 41	1,70E-05	-2,09E-01	4,76E-04
s__Allisonella_histaminiformans	<= 49 vs > 49	1,71E-05	1,10E+00	4,76E-04
s__Megasphaera_lornae	<= 44 vs > 44	1,72E-05	5,08E-01	4,76E-04
s__Ureaplasma_parvum	<= 35 vs > 35	1,79E-05	3,16E-01	4,81E-04
s__Lactobacillus_jensenii	<= 45 vs > 45	1,84E-05	-4,59E-01	4,81E-04
s__Tissierellia_bacterium	<= 44 vs > 44	1,90E-05	4,57E-01	4,87E-04
s__Ureaplasma_parvum	<= 34 vs > 34	2,03E-05	3,18E-01	5,07E-04
s__Tissierellia_bacterium	<= 43 vs > 43	2,25E-05	4,25E-01	5,48E-04
s__Prevotella_timonensis	<= 42 vs > 42	2,32E-05	4,23E-01	5,52E-04
s__Coriobacteriales_bacterium	<= 40 vs > 40	2,62E-05	3,77E-01	6,10E-04
s__Fusobacterium_nucleatum	<= 50 vs > 50	2,69E-05	-4,70E-01	6,11E-04
s__Gardnerella_vaginalis	<= 48 vs > 48	3,01E-05	4,35E-01	6,28E-04
s__Prevotella_timonensis	<= 41 vs > 41	2,87E-05	3,96E-01	6,28E-04
s__Prevotella_timonensis	<= 49 vs > 49	2,93E-05	1,03E+00	6,28E-04
s__Mageeibacillus_indolicus	<= 37 vs > 37	2,96E-05	3,46E-01	6,28E-04
