Bacteria	Feature	estimate	se	t	p value	N	FDR
s__Lactobacillus_crispatus	PARITY2	-4,50E-01	8,55E-02	-5,27E+00	1,50E-07	2832	1,96E-04
s__Sneathia_sanguinegens	EDU_CAT1	4,87E-01	1,03E-01	4,73E+00	2,31E-06	4412	1,50E-03
s__Lactobacillus_crispatus	EXA_CERBLE	-4,39E-01	9,48E-02	-4,64E+00	3,65E-06	4782	1,58E-03
s__Atopobium_vaginae	BIRTH_CONTROL3	-4,19E-01	9,66E-02	-4,34E+00	1,49E-05	3679	4,84E-03
s__Allisonella_histaminiformans	AGE	2,47E-02	5,88E-03	4,20E+00	2,74E-05	5437	7,13E-03
s__Tissierellia_bacterium	BIRTH_CONTROL3	-4,90E-01	1,23E-01	-3,97E+00	7,22E-05	3679	1,04E-02
s__Megasphaera_hutchinsoni	EDU_CAT2	8,89E-01	2,21E-01	4,01E+00	6,14E-05	2506	1,04E-02
s__Lactobacillus_crispatus	EDU_CAT2	-5,51E-01	1,37E-01	-4,01E+00	6,14E-05	2506	1,04E-02
s__Lactobacillus_vaginalis	EXA_ORDOR	-7,52E-01	1,89E-01	-3,99E+00	6,73E-05	4810	1,04E-02
s__Aerococcus_christensenii	SEX_PARTNER_CAT	8,70E-01	2,24E-01	3,88E+00	1,04E-04	5165	1,36E-02
s__Anaerococcus_tetradius	SEX_PARTNER_CAT	7,76E-01	2,02E-01	3,83E+00	1,27E-04	5165	1,51E-02
s__Megasphaera_hutchinsoni	SYM_YYD	5,38E-01	1,45E-01	3,71E+00	2,05E-04	5198	2,23E-02
s__Lactobacillus_crispatus	PARITY1	-2,80E-01	8,05E-02	-3,48E+00	5,09E-04	3122	5,10E-02
s__Prevotella_bivia	BIRTH_CONTROL3	-4,44E-01	1,31E-01	-3,39E+00	6,99E-04	3679	5,83E-02
s__Coriobacteriales_bacterium	BIRTH_CONTROL3	-4,48E-01	1,35E-01	-3,31E+00	9,57E-04	3679	5,83E-02
s__Sneathia_amnii	EDU_CAT1	3,35E-01	1,02E-01	3,29E+00	1,03E-03	4412	5,83E-02
s__Megasphaera_lornae	EXA_CERECT	4,80E-01	1,45E-01	3,30E+00	9,65E-04	3625	5,83E-02
s__Lactobacillus_crispatus	EXA_ORDOR	-3,27E-01	9,72E-02	-3,37E+00	7,60E-04	4810	5,83E-02
s__Lactobacillus_iners	MENSTRUAL_PHASE_REG1	1,52E-01	4,58E-02	3,33E+00	8,84E-04	3657	5,83E-02
s__Ureaplasma_parvum	SYM_ITCHING	2,94E-01	8,94E-02	3,29E+00	9,98E-04	5347	5,83E-02
s__Lactobacillus_crispatus	SYM_PAINBLE	-2,60E-01	7,93E-02	-3,28E+00	1,03E-03	5305	5,83E-02
s__Dialister_micraerophilus	SYM_PAINBLE	4,87E-01	1,45E-01	3,36E+00	7,83E-04	5305	5,83E-02
s__Lactobacillus_jensenii	SYM_URIOSP	-3,34E-01	9,86E-02	-3,39E+00	7,09E-04	5300	5,83E-02
s__Fusobacterium_nucleatum	SYM_ITCHING	1,86E-01	5,68E-02	3,27E+00	1,08E-03	5347	5,84E-02
s__Bifidobacterium_breve	EDU_CAT1	2,54E-01	7,79E-02	3,26E+00	1,13E-03	4412	5,91E-02
s__Coriobacteriales_bacterium	EDU_CAT1	3,20E-01	9,90E-02	3,23E+00	1,24E-03	4412	5,98E-02
s__Dialister_micraerophilus	ETHINIC	6,62E-01	2,05E-01	3,23E+00	1,23E-03	5133	5,98E-02
s__Lactobacillus_gasseri	SMOKING_CAT	-7,28E-01	2,27E-01	-3,21E+00	1,32E-03	5246	6,16E-02
s__Sneathia_amnii	EXA_ORDOR	5,92E-01	1,86E-01	3,19E+00	1,43E-03	4810	6,42E-02
s__Allisonella_histaminiformans	ETHINIC	6,46E-01	2,03E-01	3,18E+00	1,48E-03	5133	6,43E-02
s__Tissierellia_bacterium	AGE	1,75E-02	5,60E-03	3,12E+00	1,79E-03	5437	6,59E-02
s__Coriobacteriales_bacterium	AGE	1,92E-02	6,11E-03	3,15E+00	1,66E-03	5437	6,59E-02
s__Allisonella_histaminiformans	BIRTH_CONTROL3	-4,02E-01	1,28E-01	-3,14E+00	1,69E-03	3679	6,59E-02
s__Sneathia_sanguinegens	ETHINIC	6,85E-01	2,20E-01	3,11E+00	1,86E-03	5133	6,59E-02
s__Sneathia_amnii	EXA_CERBLE	5,63E-01	1,81E-01	3,10E+00	1,92E-03	4782	6,59E-02
s__Lactobacillus_crispatus	GRAVITY2	-2,67E-01	8,57E-02	-3,12E+00	1,81E-03	3991	6,59E-02
s__Allisonella_histaminiformans	SEX_PARTNER_CAT	7,26E-01	2,34E-01	3,11E+00	1,90E-03	5165	6,59E-02
s__Streptococcus_anginosus	SYM_PAINBLE	3,60E-01	1,14E-01	3,15E+00	1,64E-03	5305	6,59E-02
s__Prevotella_timonensis	ETHINIC	6,47E-01	2,13E-01	3,04E+00	2,41E-03	5133	8,03E-02
s__Streptococcus_anginosus	PS_HYPERTENSION	6,48E-01	2,14E-01	3,03E+00	2,49E-03	5296	8,09E-02
s__Dialister_micraerophilus	SYM_ITCHING	2,94E-01	9,76E-02	3,01E+00	2,60E-03	5347	8,27E-02
s__Prevotella_bivia	SYM_ITCHING	2,90E-01	9,67E-02	3,00E+00	2,68E-03	5347	8,31E-02
s__Lactobacillus_iners	EDU_CAT1	1,34E-01	4,48E-02	2,99E+00	2,85E-03	4412	8,44E-02
s__Tissierellia_bacterium	SEX_PARTNER_CAT	6,67E-01	2,23E-01	2,99E+00	2,83E-03	5165	8,44E-02
s__Megasphaera_lornae	BIRTH_CONTROL3	-4,29E-01	1,44E-01	-2,97E+00	3,01E-03	3679	8,71E-02
s__Mageeibacillus_indolicus	AGE	1,80E-02	6,10E-03	2,94E+00	3,25E-03	5437	9,00E-02
s__Lactobacillus_crispatus	AGE	-9,53E-03	3,24E-03	-2,94E+00	3,33E-03	5437	9,00E-02
s__Fusobacterium_nucleatum	BMI	2,38E-02	8,11E-03	2,93E+00	3,39E-03	5437	9,00E-02
s__Streptococcus_anginosus	SYM_URIOSP	2,72E-01	9,23E-02	2,94E+00	3,24E-03	5300	9,00E-02
s__Prevotella_timonensis	BIRTH_CONTROL3	-3,90E-01	1,35E-01	-2,90E+00	3,81E-03	3679	9,72E-02
s__Gardnerella_vaginalis	SYM_ITCHING	1,87E-01	6,46E-02	2,90E+00	3,77E-03	5347	9,72E-02
s__Megasphaera_hutchinsoni	SEX_PARTNER_CAT	6,38E-01	2,21E-01	2,88E+00	3,95E-03	5165	9,90E-02
s__Prevotella_amnii	BIRTH_CONTROL3	-4,16E-01	1,45E-01	-2,87E+00	4,18E-03	3679	1,01E-01
s__Sneathia_amnii	EXA_CERECT	4,09E-01	1,43E-01	2,86E+00	4,26E-03	3625	1,01E-01
g__Shuttleworthia	SYM_ITCHING	1,90E-01	6,66E-02	2,86E+00	4,23E-03	5347	1,01E-01
s__Gardnerella_vaginalis	ALCOHOL_CAT	-1,81E-01	6,36E-02	-2,85E+00	4,43E-03	5279	1,03E-01
s__Sneathia_amnii	SEX_PARTNER_CAT	7,05E-01	2,50E-01	2,82E+00	4,81E-03	5165	1,10E-01
s__Atopobium_vaginae	SYM_PAINBLE	2,91E-01	1,04E-01	2,80E+00	5,19E-03	5305	1,17E-01
s__Lactobacillus_crispatus	GRAVITY1	-2,56E-01	9,34E-02	-2,75E+00	6,10E-03	1854	1,35E-01
s__Lactobacillus_crispatus	SYM_URIOSP	-1,75E-01	6,43E-02	-2,73E+00	6,39E-03	5300	1,39E-01
s__Fusobacterium_nucleatum	ETHINIC	3,19E-01	1,17E-01	2,72E+00	6,63E-03	5133	1,42E-01
s__Anaerococcus_tetradius	EXA_CERBLE	3,94E-01	1,45E-01	2,71E+00	6,76E-03	4782	1,42E-01
s__Atopobium_vaginae	AGE	1,13E-02	4,25E-03	2,66E+00	7,76E-03	5437	1,55E-01
s__Sneathia_sanguinegens	BIRTH_CONTROL3	-3,72E-01	1,41E-01	-2,64E+00	8,36E-03	3679	1,55E-01
s__Megasphaera_hutchinsoni	BIRTH_CONTROL3	-3,26E-01	1,22E-01	-2,66E+00	7,85E-03	3679	1,55E-01
s__Anaerococcus_tetradius	BIRTH_CONTROL3	-2,95E-01	1,11E-01	-2,66E+00	7,90E-03	3679	1,55E-01
s__Lactobacillus_jensenii	EDU_CAT2	-5,38E-01	2,03E-01	-2,65E+00	8,16E-03	2506	1,55E-01
s__Prevotella_bivia	EXA_ORDOR	4,58E-01	1,73E-01	2,64E+00	8,27E-03	4810	1,55E-01
s__Veillonella_montpellierensis	SYM_PAINBLE	3,14E-01	1,18E-01	2,66E+00	7,92E-03	5305	1,55E-01
s__Aerococcus_christensenii	SYM_PAINBLE	3,64E-01	1,37E-01	2,65E+00	8,16E-03	5305	1,55E-01
s__Anaerococcus_tetradius	EXA_ORDOR	3,92E-01	1,49E-01	2,63E+00	8,51E-03	4810	1,56E-01
s__Lactobacillus_vaginalis	SYM_ABDPAIN	-3,41E-01	1,30E-01	-2,63E+00	8,63E-03	5321	1,56E-01
f__Enterobacteriaceae	MENSTRUAL_PHASE_REG1	1,60E-01	6,09E-02	2,62E+00	8,85E-03	3657	1,58E-01
s__Prevotella_amnii	AGE	1,69E-02	6,47E-03	2,61E+00	9,05E-03	5437	1,59E-01
f__Enterobacteriaceae	MENSTRUAL_PHASE_REG3	-1,58E-01	6,05E-02	-2,60E+00	9,28E-03	3657	1,59E-01
s__Prevotella_amnii	SMOKING_CAT	6,16E-01	2,37E-01	2,60E+00	9,28E-03	5246	1,59E-01
s__Lactobacillus_iners	GRAVITY2	1,85E-01	7,17E-02	2,59E+00	9,76E-03	3991	1,64E-01
s__Dialister_micraerophilus	SYM_BLEDDING	4,06E-01	1,57E-01	2,58E+00	9,82E-03	5298	1,64E-01
