exp	out	strat	HR	CI_low	CI_high	pval	N	Ncase.out	model	FDR
balance_value	Purulent cervical discharge	NA	1,004684435	0,965949237	1,044972941	0,815782914	2111	153	Model1	0,870168441
balance_value	Red and swollen vagina	NA	0,995201645	0,931442401	1,063325347	0,886778501	2138	56	Model1	0,886778501
balance_value	Odor	NA	0,952378348	0,915605051	0,990628564	0,015156528	2225	136	Model1	0,022045859
balance_value	Cervical bleeding and swelling	NA	0,949588058	0,922556879	0,977411259	0,000447118	2110	245	Model1	0,001021984
balance_value	BV	NA	0,831133007	0,79710854	0,866609804	4,21E-18	2217	88	Model1	6,73E-17
balance_value	AV	NA	0,939172814	0,912567458	0,966553834	1,87E-05	2071	240	Model1	4,98E-05
balance_value	TCT	NA	0,972016259	0,940198583	1,004910691	0,094627292	2439	181	Model1	0,116464359
balance_value	HPV	NA	0,972777665	0,95183231	0,994183928	0,012947988	2549	441	Model1	0,02071678
balance_value	UU	NA	0,933809703	0,905621385	0,96287541	1,19E-05	2549	211	Model1	3,81E-05
balance_value	MH	NA	0,863391604	0,833805194	0,894027846	1,50E-16	2549	119	Model1	1,20E-15
balance_value	CT	NA	0,930941973	0,883203841	0,981260402	0,007714636	2549	74	Model1	0,013714908
balance_value	Fungus	NA	0,987327255	0,954827721	1,020932978	0,455166468	2069	179	Model1	0,52019025
balance_value	TV	NA	0,925682927	0,868120503	0,987062138	0,018397754	2210	47	Model1	0,024530339
balance_value	General health	NA	0,967470598	0,955717443	0,979368291	1,14E-07	2051	1315	Model1	6,08E-07
balance_value	EXA	NA	0,966465331	0,945903132	0,987474515	0,001878925	2092	465	Model1	0,00375785
balance_value	STI	NA	0,960492777	0,946037112	0,975169329	1,89E-07	2220	843	Model1	7,56E-07
