BioProject	balance_value	group	disease
PRJNA310998	16.4103371212936	BV- (44)	BV
PRJNA310998	22.9033554283364	BV- (44)	BV
PRJNA310998	22.9245028216355	BV- (44)	BV
PRJNA310998	14.9104081653276	BV- (44)	BV
PRJNA310998	18.8384341597545	BV- (44)	BV
PRJNA310998	0	BV- (44)	BV
PRJNA310998	22.8913961986524	BV- (44)	BV
PRJNA310998	0	BV- (44)	BV
PRJNA310998	22.8927419238058	BV- (44)	BV
PRJNA310998	23.0209813551005	BV- (44)	BV
PRJNA310998	6.94207372341015	BV+ (7)	BV
PRJNA310998	18.7855933984307	BV- (44)	BV
PRJNA310998	20.6374674762982	BV- (44)	BV
PRJNA310998	7.36160472220211	BV- (44)	BV
PRJNA310998	11.244375873412	BV- (44)	BV
PRJNA310998	-7.15136406790699	BV+ (7)	BV
PRJNA310998	4.69121363140689	BV+ (7)	BV
PRJNA310998	19.9863007921828	BV- (44)	BV
PRJNA310998	10.0435616353103	BV+ (7)	BV
PRJNA310998	21.7343690815121	BV- (44)	BV
PRJNA310998	-3.15969267510356	BV- (44)	BV
PRJNA310998	20.6465018207346	BV- (44)	BV
PRJNA310998	22.918600819983	BV- (44)	BV
PRJNA310998	22.9963996102779	BV- (44)	BV
PRJNA310998	23.0176440722244	BV- (44)	BV
PRJNA310998	0	BV- (44)	BV
PRJNA310998	5.31833270317305	BV- (44)	BV
PRJNA310998	22.7995734614805	BV- (44)	BV
PRJNA310998	21.5711974797573	BV- (44)	BV
PRJNA310998	NA	BV- (44)	BV
PRJNA310998	0	BV- (44)	BV
PRJNA310998	7.26713378507324	BV+ (7)	BV
PRJNA310998	13.6010931405667	BV+ (7)	BV
PRJNA310998	22.9980173676455	BV- (44)	BV
PRJNA310998	17.7198801892367	BV- (44)	BV
PRJNA310998	-1.39773460087887	BV- (44)	BV
PRJNA310998	-3.17790643239379	BV- (44)	BV
PRJNA310998	22.8218556497075	BV- (44)	BV
PRJNA310998	22.9378046537611	BV- (44)	BV
PRJNA310998	8.59151578628995	BV- (44)	BV
PRJNA310998	12.8995683513879	BV- (44)	BV
PRJNA310998	13.8048954744853	BV- (44)	BV
PRJNA310998	22.8732337575445	BV- (44)	BV
PRJNA310998	22.6959604283237	BV- (44)	BV
PRJNA310998	23.0014263779334	BV- (44)	BV
PRJNA310998	23.0201307917696	BV+ (7)	BV
PRJNA310998	16.0843961846371	BV- (44)	BV
PRJNA310998	18.232606534669	BV- (44)	BV
PRJNA310998	22.9975134418438	BV- (44)	BV
PRJNA310998	12.6414626560085	BV- (44)	BV
PRJNA310998	18.232606534669	BV- (44)	BV
PRJNA329174	22.7665943903028	Healthy (96)	IVF
PRJNA329174	22.9191172526044	Healthy (96)	IVF
PRJNA329174	23.0258509299405	Healthy (96)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	23.0033274552734	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	23.0255193832722	IVF (38)	IVF
PRJNA329174	19.6325998003595	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	23.0258509299405	Healthy (96)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	23.0258509299405	IVF (38)	IVF
PRJNA329174	0	IVF (38)	IVF
PRJNA329174	17.5137671738908	IVF (38)	IVF
